Date,AAPL,TSLA,^IRX
2010-01-04,6.447412014007568,,0.054999999701976776
2010-01-05,6.458559513092041,,0.05999999865889549
2010-01-06,6.355827331542969,,0.04500000178813934
2010-01-07,6.344076156616211,,0.04500000178813934
2010-01-08,6.386254787445068,,0.03999999910593033
2010-01-11,6.32991886138916,,0.02500000037252903
2010-01-12,6.257915019989014,,0.03999999910593033
2010-01-13,6.346185684204102,,0.05000000074505806
2010-01-14,6.309431552886963,,0.04500000178813934
2010-01-15,6.203988552093506,,0.054999999701976776
2010-01-19,6.478442668914795,,0.05000000074505806
2010-01-20,6.378723621368408,,0.05000000074505806
2010-01-21,6.268459796905518,,0.03999999910593033
2010-01-22,5.957550048828125,,0.04500000178813934
2010-01-25,6.117825508117676,,0.04500000178813934
2010-01-26,6.204288959503174,,0.06499999761581421
2010-01-27,6.262736797332764,,0.07000000029802322
2010-01-28,6.003946781158447,,0.07000000029802322
2010-01-29,5.786130428314209,,0.07000000029802322
2010-02-01,5.866569995880127,,0.08500000089406967
2010-02-02,5.90061092376709,,0.09000000357627869
2010-02-03,6.002139568328857,,0.09000000357627869
2010-02-04,5.785830497741699,,0.08500000089406967
2010-02-05,5.888560771942139,,0.08500000089406967
2010-02-08,5.84819221496582,,0.09000000357627869
2010-02-09,5.910553455352783,,0.10000000149011612
2010-02-10,5.878318786621094,,0.10000000149011612
2010-02-11,5.985269069671631,,0.0949999988079071
2010-02-12,6.0367841720581055,,0.09000000357627869
2010-02-16,6.1277689933776855,,0.08500000089406967
2010-02-17,6.102160930633545,,0.09000000357627869
2010-02-18,6.113609313964844,,0.08500000089406967
2010-02-19,6.075648307800293,,0.0949999988079071
2010-02-22,6.037990093231201,,0.08500000089406967
2010-02-23,5.936764240264893,,0.11500000208616257
2010-02-24,6.045222282409668,,0.10999999940395355
2010-02-25,6.085591793060303,,0.11500000208616257
2010-02-26,6.164522171020508,,0.11500000208616257
2010-03-01,6.296176433563232,,0.11999999731779099
2010-03-02,6.291958808898926,,0.125
2010-03-03,6.306417942047119,,0.13500000536441803
2010-03-04,6.347993850708008,,0.13500000536441803
2010-03-05,6.596237659454346,,0.14499999582767487
2010-03-08,6.600152969360352,,0.14499999582767487
2010-03-09,6.718852996826172,,0.15000000596046448
2010-03-10,6.773684501647949,,0.14499999582767487
2010-03-11,6.793567180633545,,0.14499999582767487
2010-03-12,6.826706409454346,,0.14000000059604645
2010-03-15,6.743557453155518,,0.14499999582767487
2010-03-16,6.761935234069824,,0.1550000011920929
2010-03-17,6.751993179321289,,0.15000000596046448
2010-03-18,6.767960071563721,,0.14499999582767487
2010-03-19,6.695657253265381,,0.14499999582767487
2010-03-22,6.770971298217773,,0.14000000059604645
2010-03-23,6.879727363586426,,0.12999999523162842
2010-03-24,6.910158634185791,,0.13500000536441803
2010-03-25,6.828212261199951,,0.12999999523162842
2010-03-26,6.956251621246338,,0.12999999523162842
2010-03-29,7.001141548156738,,0.125
2010-03-30,7.105379104614258,,0.15000000596046448
2010-03-31,7.079769134521484,,0.15000000596046448
2010-04-01,7.108991622924805,,0.15000000596046448
2010-04-05,7.184912204742432,,0.1599999964237213
2010-04-06,7.216546058654785,,0.16500000655651093
2010-04-07,7.248481750488281,,0.1599999964237213
2010-04-08,7.2288994789123535,,0.1550000011920929
2010-04-09,7.284333229064941,,0.15000000596046448
2010-04-12,7.299394607543945,,0.13500000536441803
2010-04-13,7.303610801696777,,0.15000000596046448
2010-04-14,7.401823997497559,,0.1550000011920929
2010-04-15,7.499134540557861,,0.15000000596046448
2010-04-16,7.453341960906982,,0.15000000596046448
2010-04-19,7.443398475646973,,0.15000000596046448
2010-04-20,7.368686676025391,,0.14499999582767487
2010-04-21,7.809438705444336,,0.14499999582767487
2010-04-22,8.02785873413086,,0.15000000596046448
2010-04-23,8.159210205078125,,0.1550000011920929
2010-04-26,8.119142532348633,,0.15000000596046448
2010-04-27,7.894394874572754,,0.14499999582767487
2010-04-28,7.881143569946289,,0.1550000011920929
2010-04-29,8.093231201171875,,0.1599999964237213
2010-04-30,7.865777015686035,,0.1550000011920929
2010-05-03,8.02424144744873,,0.1599999964237213
2010-05-04,7.793170928955078,,0.1550000011920929
2010-05-05,7.712128639221191,,0.14499999582767487
2010-05-06,7.418697357177734,,0.10000000149011612
2010-05-07,7.105679512023926,,0.11999999731779099
2010-05-10,7.6518778800964355,,0.14499999582767487
2010-05-11,7.728100299835205,,0.15000000596046448
2010-05-12,7.895905017852783,,0.15000000596046448
2010-05-13,7.7835307121276855,,0.1550000011920929
2010-05-14,7.646753311157227,,0.14499999582767487
2010-05-17,7.658806324005127,,0.15000000596046448
2010-05-18,7.602770805358887,,0.16500000655651093
2010-05-19,7.481661796569824,,0.16500000655651093
2010-05-20,7.1629204750061035,,0.1550000011920929
2010-05-21,7.300297737121582,,0.15000000596046448
2010-05-24,7.434061527252197,,0.15000000596046448
2010-05-25,7.38766622543335,,0.1599999964237213
2010-05-26,7.354224681854248,,0.1599999964237213
2010-05-27,7.632595539093018,,0.1599999964237213
2010-05-28,7.738945484161377,,0.15000000596046448
2010-06-01,7.85794734954834,,0.14499999582767487
2010-06-02,7.951937198638916,,0.14499999582767487
2010-06-03,7.926936149597168,,0.12999999523162842
2010-06-04,7.711225986480713,,0.11999999731779099
2010-06-07,7.5599870681762695,,0.10499999672174454
2010-06-08,7.511486530303955,,0.10999999940395355
2010-06-09,7.326809883117676,,0.0949999988079071
2010-06-10,7.547037124633789,,0.08500000089406967
2010-06-11,7.637417793273926,,0.07000000029802322
